title,creator,date,Medium and Support,Object Type,Dimensions,description,Donor,Photographer,Publisher (Digital),Place of Creation,Classification,Coverage,Audience,Format,Digital Collection,Accession Number,File Name,Language,rights,Type,Valuation,Valuation Date,Valuation Source,format,object_thumb,object_download,reference_url
"Cougar II","","","","","","","","","","","","","","","","2011.5.19","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/6","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/6/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Cougar II","","","","","","","","","","","","","","","","2011.5.19","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/7","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/7/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Cougar II","","1990","","","","","","","","","","","","","","2011.5.19","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/8","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/8/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll008.html"
"Quasar-Light","","","","","","","","","","","","","","","","2000.1.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/9","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/9/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Quasar-Light","","","","","","","","","","","","","","","","2000.1.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/10","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/10/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Quasar-Light","","1974, 1978","","","","","","","","","","","","","","2000.1.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/11","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/11/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0011.html"
"Carmen from the Merry Go World","","","","","","","","","","","","","","","","2011.5.15","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/12","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/12/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Carmen from the Merry Go World","","","","","","","","","","","","","","","","2011.5.15","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/13","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/13/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
"Carmen from the Merry Go World","","1991","","","","","","","","","","","","","","2011.5.15","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/14","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/14/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0014.html"
"Celia, Malibu","","","","","","","","","","","","","","","","2011.5.10","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/15","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/15/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/.html"
